"SiteNumber"	"Type"	"LocationID"	"EffectiveDate"	"Region"	"DistrictOffice"	"State"	"StateName"	"County"	"CountyState"	"City"	"FacilityName"	"Ownership"	"Use"	"Owner"	"OwnerAddress"	"OwnerCSZ"	"OwnerPhone"	"Manager"	"ManagerAddress"	"ManagerCSZ"	"ManagerPhone"	"ARPLatitude"	"ARPLatitudeS"	"ARPLongitude"	"ARPLongitudeS"	"ARPMethod"	"ARPElevation"	"ARPElevationMethod"	"MagneticVariation"	"MagneticVariationYear"	"TrafficPatternAltitude"	"ChartName"	"DistanceFromCBD"	"DirectionFromCBD"	"LandAreaCoveredByAirport"	"BoundaryARTCCID"	"BoundaryARTCCComputerID"	"BoundaryARTCCName"	"ResponsibleARTCCID"	"ResponsibleARTCCComputerID"	"ResponsibleARTCCName"	"TieInFSS"	"TieInFSSID"	"TieInFSSName"	"AirportToFSSPhoneNumber"	"TieInFSSTollFreeNumber"	"AlternateFSSID"	"AlternateFSSName"	"AlternateFSSTollFreeNumber"	"NOTAMFacilityID"	"NOTAMService"	"ActiviationDate"	"AirportStatusCode"	"CertificationTypeDate"	"FederalAgreements"	"AirspaceDetermination"	"CustomsAirportOfEntry"	"CustomsLandingRights"	"MilitaryJointUse"	"MilitaryLandingRights"	"InspectionMethod"	"InspectionGroup"	"LastInspectionDate"	"LastOwnerInformationDate"	"FuelTypes"	"AirframeRepair"	"PowerPlantRepair"	"BottledOxygenType"	"BulkOxygenType"	"LightingSchedule"	"BeaconSchedule"	"ATCT"	"UNICOMFrequencies"	"CTAFFrequency"	"SegmentedCircle"	"BeaconColor"	"NonCommercialLandingFee"	"MedicalUse"	"SingleEngineGA"	"MultiEngineGA"	"JetEngineGA"	"HelicoptersGA"	"GlidersOperational"	"MilitaryOperational"	"Ultralights"	"OperationsCommercial"	"OperationsCommuter"	"OperationsAirTaxi"	"OperationsGALocal"	"OperationsGAItin"	"OperationsMilitary"	"OperationsDate"	"AirportPositionSource"	"AirportPositionSourceDate"	"AirportElevationSource"	"AirportElevationSourceDate"	"ContractFuelAvailable"	"TransientStorage"	"OtherServices"	"WindIndicator"
20724.*A	AIRPORT	'LBE	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	WESTMORELAND	PA	LATROBE	ARNOLD PALMER RGNL	PU	PU	WESTMORELAND COUNTY ARPT AUTH	148 AVIATION LANE, SUITE 103	LATROBE, PA 15650-9549	    724-640-7234	GABE MONZO	148 AVIATION LANE, SUITE 103	LATROBE, PA 15650-9549	    724-539-8100	40-16-28.6000N	144988.6000N	079-24-24.3000W	285864.3000W	E	1199	S	07W	1980		DETROIT	2	SW	  945	ZOB	ZCC	CLEVELAND				N	AOO	ALTOONA		1-800-WX-BRIEF				LBE	Y	04/01/1938	O	I B S 04/1977	NGVY	NO OBJECTION	N	N	N	Y	F	F	01172012		100LLA	MAJOR	MAJOR	HIGH	NONE	SEE RMK	SS-SR	Y		125.000		CG	Y		58	9	31	5				1247		3883	9134	12320	1775	12/31/2012	NGS	2009-08-31 00:00:00.0	NGS	2009-08-31 00:00:00.0		HGR,TIE	AVNCS,CHTR,INSTR,RNTL,SALES	Y-L
21217.*A	AIRPORT	'PHL	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	PHILADELPHIA	PA	PHILADELPHIA	PHILADELPHIA INTL	PU	PU	CITY OF PHILADELPHIA	DIV OF AVIATION TERMINAL E	PHILADELPHIA, PA 19153	    215-937-6800	MARK GALE	DIV OF AVIATION TERMINAL E	PHILADELPHIA, PA 19153	    215-937-6914	39-52-20.0980N	143540.0980N	075-14-27.1170W	270867.1170W	E	36	S	10W	1980		WASHINGTON	5	SW	 2302	ZDC	ZCW	WASHINGTON	ZNY	ZCN	NEW YORK	N	IPT	WILLIAMSPORT		1-800-WX-BRIEF				PHL	Y	10/01/1940	O	I E S 05/1973	NGYH	NO OBJECTION	N	Y	N	Y	F	F	05142013		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW		SS-SR	Y	122.950		N	CG	Y		2	2	19					275568	185204	91644	1	6679	361	12/31/2012	FAA-EST	2009-02-12 00:00:00.0	NGS	2003-08-04 00:00:00.0		HGR,TIE	AFRT,CARGO,CHTR	Y-L
21252.*A	AIRPORT	'PIT	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	ALLEGHENY	PA	PITTSBURGH	PITTSBURGH INTL	PU	PU	ALLEGHENY CO ARPT AUTHORITY	PO BOX 12370, SUITE. 4000	PITTSBURGH, PA 15231-0370	    412-472-3500	BRADLEY D. PENROD	PO BOX 12370,  SUITE. 4000	PITTSBURGH, PA 15231-0370	    412-472-3510	40-29-29.1000N	145769.1000N	080-13-57.7000W	288837.7000W	E	1202	S	08W	1995		DETROIT	12	NW	10000	ZOB	ZCC	CLEVELAND				N	AOO	ALTOONA		1-800-WX-BRIEF				PIT	Y	03/01/1944	O	I D S 05/1973	NGHY3	NOT ANALYZED	N	Y	Y	Y	F	F	11272012		100LLA	MINOR	MINOR	NONE	NONE		SS-SR	Y	122.950		N	CG	Y				14			23		77680		41915	16	12447	8515	09/30/2012	3RD PARTY SURVEY	2011-07-25 00:00:00.0	3RD PARTY SURVEY	2011-07-25 00:00:00.0		HGR,TIE	AFRT,CARGO	Y-L
21329.*A	AIRPORT	'RDG	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	BERKS	PA	READING	READING RGNL/CARL A SPAATZ FIELD	PU	PU	READING REGIONAL ARPT AUTH.	2501 BERNVILLE RD	READING, PA 19605	    610-372-4666	TERRY P. SROKA	2501 BERNVILLE RD	READING, PA 19605	    610-372-4666	40-22-42.6000N	145362.6000N	075-57-54.9000W	273474.9000W	E	343	S	12W	2000	1056	NEW YORK	3	NW	  888	ZNY	ZCN	NEW YORK				N	IPT	WILLIAMSPORT		1-800-WX-BRIEF				RDG	Y	04/01/1938	O	IV A U 04/1975	NGRY	NOT ANALYZED	N	N	Y	Y	F	F	06122012		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW		SEE RMK	Y	122.950	119.900	N	CG	Y		66	29	11	4	1		3	73	702	7635	36746	29885	5546	12/31/2012	3RD PARTY SURVEY	2011-11-03 00:00:00.0	3RD PARTY SURVEY	2011-11-03 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
21545.1*A	AIRPORT	'UNV	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	CENTRE	PA	STATE COLLEGE	UNIVERSITY PARK	PU	PU	PENN STATE UNIVERSITY	2535 FOX HILL RD	STATE COLLEGE, PA 16803	    814-865-5511	BRYAN RODGERS	2535 FOX HILL RD	STATE COLLEGE, PA 16803	    814-865-5511	40-50-57.4000N	147057.4000N	077-50-55.3000W	280255.3000W	E	1239	S	11W	2000	3239	DETROIT	3	N	 1091	ZNY	ZCN	NEW YORK				N	AOO	ALTOONA		1-800-WX-BRIEF				UNV	Y	03/01/1959	O	I B S 05/1985	NGHY	NO OBJECTION	N	N	N	Y	F	F	01092013		100LLA	MAJOR	MINOR	LOW	NONE	SEE RMK	SS-SR	Y	122.800	128.475	Y	CG	Y		46	7	5	1				71		13884	10657	14807	820	10/31/2012	NGS					HGR,TIE	AMB,CHTR,INSTR	Y-L
21781.*A	AIRPORT	'AVP	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	LUZERNE	PA	WILKES-BARRE/SCRANTON	WILKES-BARRE/SCRANTON INTL	PU	PU	LUZERNE AND LACKAWANNA CO	100 TERMINAL DRIVE	AVOCA, PA 18641	    570-602-2030	BARRY J. CENTINI	100 TERMINAL DRIVE	AVOCA, PA 18641	    570-602-2000	41-20-18.5000N	148818.5000N	075-43-24.2000W	272604.2000W	E	962	S	11W	1980		NEW YORK	5	SW	  905	ZNY	ZCN	NEW YORK					IPT	WILLIAMSPORT		1-800-WX-BRIEF				AVP	Y	01/01/1947	O	I B S 05/1973	NGYH3	NOT ANALYZED	N	Y	N	Y	F	F	01282013		100LLA	MAJOR	MAJOR	LOW	LOW		SS-SR	Y	122.950		N	CG	Y		26	12	3	1				1744		14868	9620	12060	549	12/31/2012	NGS	2006-05-01 00:00:00.0	NGS	2006-05-01 00:00:00.0		HGR,TIE	AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL	Y-L
21791.*A	AIRPORT	'IPT	08/22/2013	AEA	HAR	PA	PENNSYLVANIA	LYCOMING	PA	WILLIAMSPORT	WILLIAMSPORT RGNL	PU	PU	WILLIAMSPORT MUNI ARPT AUTH	700 AIRPORT RD	MONTOURSVILLE, PA 17754	    570-368-2444	THOMAS J. HART	700 AIRPORT RD	MONTOURSVILLE, PA 17754	    570-368-2444	41-14-30.0000N	148470.0000N	076-55-18.5000W	276918.5000W	E	528	S	10W	1980		NEW YORK	4	E	  535	ZNY	ZCN	NEW YORK				N	IPT	WILLIAMSPORT		1-800-WX-BRIEF				IPT	Y	04/01/1938	O	I A S 05/1973	NGY3H	NOT ANALYZED	N	N	N	Y	F	F	02282013	03141986	100LLA	MAJOR	MAJOR	NONE	HIGH	SEE RMK	SS-SR	Y	122.950	119.100	Y	CG	Y		22	11	2	2	0			5		3955	3876	12182	541	12/31/2012	3RD PARTY SURVEY	2009-11-18 00:00:00.0	3RD PARTY SURVEY	2009-11-18 00:00:00.0		HGR,TIE	AVNCS,CARGO,INSTR,RNTL,SALES	Y-L
53004.*A	AIRPORT	'BQN	08/22/2013	ASO	ORL	PR	PUERTO RICO	--PUERTO RICO	PR	AGUADILLA	RAFAEL HERNANDEZ	PU	PU	PUERTO RICO PORTS AUTH	PO BOX 250466	AGUADILLA, PR 00604-0466	    787-891-2286	EDGAR SIERRA	BOX 250466	AGUADILLA, PR 00604-0466	    787-890-6075	18-29-41.5000N	066581.5000N	067-07-46.0000W	241666.0000W	E	237	S	12W	2012	1000	PUERTO RICO-VIRGIN ISLANDS	3	NE	 1600	ZSU	ZSU	SAN JUAN				N	SJU	SAN JUAN		1-800-WX-BRIEF				TJBQ	Y		O	I B S 07/2005	NGPY		N	N			F	F	06212012		100  A1	MAJOR	NONE	NONE	NONE	SS-SR	SS-SR	Y		124.950	Y	CG	Y		9	21	4	9		2	0	12026		672	20098	10050	36174	05/31/2012	NGS					HGR,TIE	CARGO,CHTR,INSTR	Y-L
53085.1*A	AIRPORT	'VQS	08/22/2013	ASO	ORL	PR	PUERTO RICO	--PUERTO RICO	PR	ISLA DE VIEQUES	ANTONIO RIVERA RODRIGUEZ	PU	PU	PUERTO RICO PORTS AUTH	HC-01 BOX 9421	VIEQUES, PR 00765-9244	    787-741-0515	WILLIAM FEBLES	ANTONIO RIVERA RODRIGUEZ AIRPORT, HC-01 BOX 9421	VIEQUES, PR 00765-9244	    787-741-8358	18-08-05.3200N	065285.3200N	065-29-37.0200W	235777.0200W	E	49	S	13W	2000		PUERTO RICO-VIRGIN ISLANDS	3	SW	  124	ZSU	ZSU	SAN JUAN				N	SJU	SAN JUAN		1-800-WX-BRIEF				TJSJ	Y	08/01/1968	O	I A S 03/2004	NGSY	CONDITIONAL	N	Y	N	Y	F	F	06222012		100LLA	NONE	NONE	NONE	NONE		SS-SR	N	123.000	123.000	Y	CG	Y		5	10	0							25823	640	9910	3	05/21/2012	NACO	2002-07-27 00:00:00.0	NACO	2002-07-27 00:00:00.0		TIE		Y-L
53146.*A	AIRPORT	'PSE	08/22/2013	ASO	ORL	PR	PUERTO RICO	--PUERTO RICO	PR	PONCE	MERCEDITA	PU	PU	PUERTO RICO PORT AUTH	PO BOX 2829	SAN JUAN, PR 00936	    787-791-0054	JOSE RIOLLANO	MERCEDITA ARPT BOX 323	MERCEDITA, PR 00715	    787-842-6292	18-00-29.9000N	064829.9000N	066-33-46.8000W	239626.8000W	E	28	S	11W	1985		PUERTO RICO-VIRGIN ISLANDS	3	E	  274	ZSU	ZSU	SAN JUAN				N	SJU	SAN JUAN		1-800-WX-BRIEF				TJPS	Y	04/01/1948	O	I B S 07/1973	NGY	NO OBJECTION	N	Y	N	Y	F	F	06262012		100  A1	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N	122.700	122.700	Y	CG	Y		13	4		6	0			1666		64	5146	0	709	05/31/2012	3RD PARTY SURVEY	2012-08-03 00:00:00.0	3RD PARTY SURVEY	2012-08-03 00:00:00.0		HGR,TIE	AGRI,CARGO,CHTR,GLD,INSTR,RNTL,TOW	Y-L
53180.1*A	AIRPORT	'SJU	08/22/2013	ASO	ORL	PR	PUERTO RICO	--PUERTO RICO	PR	SAN JUAN	LUIS MUNOZ MARIN INTL	PU	PU	PUERTO RICO PORTS AUTH	GPO BOX 362829	SAN JUAN, PR 00936-2829	    787-729-8805	ARNALDO DELEO	GPO BOX 362829	SAN JUAN, PR 00936-2829	    787-791-3840	18-26-21.4606N	066381.4606N	066-00-07.2150W	237607.2150W	E	9	S	11W	1985		PUERTO RICO-VIRGIN ISLANDS	3	SE	 1600	ZSU	ZSU	SAN JUAN				N	SJU	SAN JUAN		1-800-WX-BRIEF				TJSJ	Y	08/01/1952	O	I D S 05/2005	NGY	NO OBJECTION	N	Y	Y	Y	F	F	06282012		100  115  A+	MAJOR	MAJOR	NONE	NONE	SS-SR	SS-SR	Y	123.000		N	CG	Y		17	54	3	4		10		79898		56727		20690	2296	06/30/2012	FAA	2010-01-14 00:00:00.0	NGS	2008-02-08 00:00:00.0		HGR	AFRT,CARGO,CHTR	Y-L
22024.*A	AIRPORT	'PVD	08/22/2013	ANE	NONE	RI	RHODE ISLAND	KENT	RI	PROVIDENCE	THEODORE FRANCIS GREEN STATE	PU	PU	STATE OF RHODE ISLAND	RI AIRPORT CORP	WARWICK, RI 02886	    401-691-2000	KEVIN DILLON	RI AIRPORT CORP	WARWICK, RI 02886	    401-691-2000	41-43-26.3970N	150206.3970N	071-25-41.5960W	257141.5960W	E	55	S	15W	1985		NEW YORK	6	S	 1111	ZBW	ZCB	BOSTON				N	BDR	BRIDGEPORT		1-800-WX-BRIEF				PVD	Y	09/01/1937	O	I C S 05/1973	NGY3	NOT ANALYZED	N	Y	N	Y	F	F	04252012		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y		120.700	Y	CG	Y		37	6	11	2				37285		21047	5350	16546	369	12/31/2011	NGS					HGR,TIE	AFRT,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
22102.*A	AIRPORT	'AND	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	ANDERSON	SC	ANDERSON	ANDERSON RGNL	PU	PU	COUNTY OF ANDERSON	5805 AIRPORT ROAD	ANDERSON, SC 29626	    864-260-4163	STEPHEN B. VIBBARD	5805 AIRPORT RD.	ANDERSON, SC 29626	    864-260-4163	34-29-40.5000N	124180.5000N	082-42-33.8000W	297753.8000W	E	782	S	05W	2005		ATLANTA	3	SW	  704	ZTL	ZCT	ATLANTA				N	AND	ANDERSON		1-800-WX-BRIEF				AND	Y	09/01/1937	O	IV A U 12/1992	NGY3	NOT ANALYZED	N	N	N	Y	S	F	01082013		100LLA	MAJOR	MAJOR	LOW		SEE RMK	SS-SR	N	122.950	123.600	Y	CG	N		59	9	1	3		0		90		4500	22000	25000	300	12/31/2012	FAA	2010-01-12 00:00:00.0	3RD PARTY SURVEY	2008-11-23 00:00:00.0		HGR,TIE	AFRT,AMB,CARGO,CHTR,INSTR,RNTL	Y-L
22174.*A	AIRPORT	'CHS	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	CHARLESTON	SC	CHARLESTON	CHARLESTON AFB/INTL	MA	PU	USAF	437ABG/OTM	CHARLESTON AFB, SC 29404	    843-767-7010	SUSAN STEVENS, ARPT DIRECTOR	5500 INTL BLVD	CHARLESTON, SC 29418	    843-767-7010	32-53-55.1000N	118435.1000N	080-02-25.9000W	288145.9000W	E	46	E	07W	2010		CHARLOTTE	9	NW	 2060	ZJX	ZCJ	JACKSONVILLE				N	AND	ANDERSON		1-800-WX-BRIEF				CHS	Y	10/01/1937	O	I C S 01/2006	NGPY3	NO OBJECTION	N	Y	Y	N	F	F	08072012		100  A1+	MAJOR	MAJOR	NONE	HIGH		SS-SR	Y	122.950		N	CG	N		15	13	12	5				20707		28185	1932	25581	25836	07/31/3012	NGS	2002-02-08 00:00:00.0	MILITARY	2005-12-19 00:00:00.0		HGR,TIE	AVNCS,CHTR,SALES	Y
22209.*A	AIRPORT	'CAE	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	LEXINGTON	SC	COLUMBIA	COLUMBIA METROPOLITAN	PU	PU	RICHLAND LEXINGTON	125A SUMMER LAKE DRIVE	WEST COLUMBIA, SC 29170	    803-822-5050	MR. DAN MANN	125A SUMMER LAKE DRIVE	WEST COLUMBIA, SC 29170	    803-822-5050	33-56-19.8000N	122179.8000N	081-07-10.3000W	292030.3000W	E	236	S	05W	1985		CHARLOTTE	5	SW	 2600	ZJX	ZCJ	JACKSONVILLE				N	AND	ANDERSON		1-800-WX-BRIEF				CAE	Y	06/01/1942	O	I B S 05/1973	NGPY3	NOT ANALYZED	N	Y	N	Y	F	F	05012013		100LLA	MAJOR	MAJOR	HIGH	HIGH	SS-SR	SS-SR	Y	122.950		N	CG	N		49	17	15	6				6174		27498	2355	14651	2146	03/31/2013	3RD PARTY SURVEY	2012-05-16 00:00:00.0	NGS	2007-01-17 00:00:00.0		HGR,TIE	AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES	Y-L
22276.*A	AIRPORT	'FLO	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	FLORENCE	SC	FLORENCE	FLORENCE RGNL	PU	PU	PEE DEE REGIONAL ARPT AUTHORITY	2100 TERMINAL DRIVE	FLORENCE, SC 29506	    843-669-5001	MR. WILLIAM E. GUNN	2100 TERMINAL DRIVE	FLORENCE, SC 29506	    843-669-5001	34-11-07.3000N	123067.3000N	079-43-26.0000W	287006.0000W	E	147	S	05W	1980		CHARLOTTE	3	E	 1436	ZJX	ZCJ	JACKSONVILLE				N	AND	ANDERSON		1-800-WX-BRIEF				FLO	Y	10/01/1937	O	I A S 05/1973	NGRY3	NOT ANALYZED	N	N	N	Y	F	F	05032013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.950	125.100	Y	CG	N		26	8	2					22		4005	2309	8159	2009	03/31/2013	3RD PARTY SURVEY	2010-03-16 00:00:00.0	3RD PARTY SURVEY	2010-03-16 00:00:00.0		HGR,TIE	AFRT,CARGO,CHTR,INSTR,RNTL,SURV	Y-L
22310.*A	AIRPORT	'GYH	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	GREENVILLE	SC	GREENVILLE	DONALDSON CENTER	PU	PU	GREENVILLE CITY/COUNTY	2 EXCHANGE ST	GREENVILLE, SC 29605	    864-277-3152	JODY BRYSON	2 EXCHANGE ST	GREENVILLE, SC 29605	    864-277-3152	34-45-29.9000N	125129.9000N	082-22-35.1000W	296555.1000W	E	956	S	04W	1985	800	ATLANTA	6	S	 1300	ZTL	ZCT	ATLANTA				N	AND	ANDERSON		1-800-WX-BRIEF				GYH	Y	04/01/1943	O	IV A U 09/1985	NGY	NOT ANALYZED	N	N	N	Y	F	F	01092013	08011980	100LLA	MAJOR	MAJOR	NONE	HIGH	SEE RMK	SS-SR	Y	122.700	133.325	Y	CG	N		43	13	1	1		0		0		7938	5004	5701	3127	10/31/2012	3RD PARTY SURVEY	2010-02-05 00:00:00.0	3RD PARTY SURVEY	2010-02-05 00:00:00.0		HGR,TIE	CARGO,CHTR	Y-L
22316.1*A	AIRPORT	'GSP	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	GREENVILLE	SC	GREER	GREENVILLE SPARTANBURG INTL	PU	PU	GREENVILLE-SPARTANBURG ACMSN	2000 GSP DRIVE, SUITE 1	GREER, SC 29651-9202	    864-877-7426	DAVID EDWARDS, JR.	2000 GSP DRIVE, SUITE 1	GREER, SC 29651-9202	    864-877-7426	34-53-44.4000N	125624.4000N	082-13-07.9000W	295987.9000W	E	964	S	06W	2010		ATLANTA	3	S	 3500	ZTL	ZCT	ATLANTA					AND	ANDERSON		1-800-WX-BRIEF				GSP	Y	11/01/1962	O	I C S 05/1973	NGY	NO OBJECTION	N	Y	N	Y	F	F	01112013		100LLA	MAJOR	MAJOR	LOW	LOW	SEE RMK	SS-SR	Y	122.950	120.100	Y	CG	N		1	2	8					11885		27119	9840	8916	1190	10/31/2012	NGS	2006-03-28 00:00:00.0	NGS	2006-03-28 00:00:00.0		HGR,TIE	AVNCS,CHTR,INSTR,RNTL,SALES	Y-L
22328.51*A	AIRPORT	'HXD	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	BEAUFORT	SC	HILTON HEAD ISLAND	HILTON HEAD	PU	PU	BEAUFORT COUNTY	PO BOX 23739	HILTON HEAD ISLAND, SC 29925	    843-255-2950	PAUL ANDRES, DIRECTOR OF AIRPORTS	PO BOX 23739	HILTON HEAD ISLAND, SC 29925	    843-255-2950	32-13-27.7000N	116007.7000N	080-41-50.9000W	290510.9000W	E	19	S	07W	2005		CHARLOTTE	3	E	  131	ZJX	ZCJ	JACKSONVILLE				N	AND	ANDERSON		1-800-WX-BRIEF				HXD	Y		O	I A S 06/1982	NGY	NO OBJECTION	N	N	N	Y	F	F	08232012		100LLA	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	Y		118.975	Y	CG	N		55	23	8				1			7946	1954	22057	1251	07/31/2012	NGS	2003-06-16 00:00:00.0	NGS	2003-06-16 00:00:00.0		TIE	AMB,CHTR,INSTR,RNTL	Y-L
22444.*A	AIRPORT	'MYR	08/22/2013	ASO	ATL	SC	SOUTH CAROLINA	HORRY	SC	MYRTLE BEACH	MYRTLE BEACH INTL	PU	PU	HORRY COUNTY	P O BOX 1236	CONWAY, SC 29526	    843-248-1201	MIKE LAPIER	1100 JETPORT RD	MYRTLE BEACH, SC 29577	    843-839-7353	33-40-47.1000N	121247.1000N	078-55-42.0000W	284142.0000W	E	25	S	06W	1985		CHARLOTTE	3	SW	 3795	ZJX	ZCJ	JACKSONVILLE				N	AND	ANDERSON		1-800-WX-BRIEF				MYR	Y	10/01/1937	O	I C S 04/1974	NGY	NOT ANALYZED	N	N	N	Y	F	F	04182013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SEE RMK	Y	122.950	128.450	Y	CG			35	8	0	5				13909		78340	2990	10639	9676	02/28/2013	NGS	2000-03-03 00:00:00.0	NGS	2000-03-03 00:00:00.0		TIE	INSTR,RNTL	Y
22603.*A	AIRPORT	'ABR	08/22/2013	AGL	BIS	SD	SOUTH DAKOTA	BROWN	SD	ABERDEEN	ABERDEEN RGNL	PU	PU	CITY OF ABERDEEN	123 S LINCOLN ST	ABERDEEN, SD 57401-1420	    605-626-7020	MICHAEL WILSON	123 SOUTH LINCOLN ST	ABERDEEN, SD 57401-4215	    605-626-7020	45-26-56.6000N	163616.6000N	098-25-18.6000W	354318.6000W	E	1302	S	07E	2000		TWIN CITIES	2	E	 1284	ZMP	ZCP	MINNEAPOLIS				N	HON	HURON		1-800-WX-BRIEF				ABR	Y	12/01/1937	O	I A S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	06192013		100LLA    MOGAS	MAJOR	MAJOR		HIGH		SEE RMK	N	122.950	122.700	Y	CG	N		43	23	6	2			0	2200		6000	8500	30000	105	12/31/2012	NGS					HGR	AFRT,AGRI,AMB,CHTR,INSTR,RNTL,SALES	Y-L
22631.*A	AIRPORT	'BKX	08/22/2013	AGL	BIS	SD	SOUTH DAKOTA	BROOKINGS	SD	BROOKINGS	BROOKINGS RGNL	PU	PU	CITY OF BROOKINGS	520 3RD STREET, SUITE 140, PO BOX 270	BROOKINGS, SD 57006	    605-692-6955	PHILIP TIEDEMAN	BOX 270, 311 3RD AVE.	BROOKINGS, SD 57006	    605-697-8664	44-18-17.4000N	159497.4000N	096-49-01.0000W	348541.0000W	E	1648	S	06E	1990		OMAHA	0	SW	  576	ZMP	ZCP	MINNEAPOLIS				N	HON	HURON		1-800-WX-BRIEF				BKX	Y	11/01/1949	O	IV A U 11/2009	NGY	NO OBJECTION	N	N	N	Y	F	F	04172013		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.000	N	CG	N		45	3		0	2		2	0		2450	30065	2200	200	12/31/2012	NGS					HGR,TIE	AGRI,CHTR,INSTR,RNTL	Y-L
22702.*A	AIRPORT	'HON	08/22/2013	AGL	BIS	SD	SOUTH DAKOTA	BEADLE	SD	HURON	HURON RGNL	PU	PU	CITY OF HURON		HURON, SD 57350	    605-353-8516	LARRY COOPER	PO BOX 1369	HURON, SD 57350	    605-353-8516	44-23-06.7000N	159786.7000N	098-13-42.8000W	353622.8000W	E	1289	S	07E	1985	812	OMAHA	0	NW	 1235	ZMP	ZCP	MINNEAPOLIS				N	HON	HURON		1-800-WX-BRIEF				HON	Y	12/01/1937	O	II A S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	04162013		100LLA	MAJOR	MAJOR	LOW	NONE	SEE RMK	SS-SR	N	123.000	123.600	Y	CG	N		28	3	0	2				1252			5000	7000	200	12/31/2012	NGS	2007-09-17 00:00:00.0	NGS	2007-09-17 00:00:00.0		HGR,TIE	AFRT,AGRI,AMB,CHTR,INSTR,RNTL,SALES	Y-L
22762.*A	AIRPORT	'PIR	08/22/2013	AGL	BIS	SD	SOUTH DAKOTA	HUGHES	SD	PIERRE	PIERRE RGNL	PU	PU	CITY OF PIERRE	3800 AIRPORT ROAD, SUITE 209	PIERRE, SD 57501	    605-773-7447	MICHAEL ISAACS	3800 AIRPORT ROAD, SUITE 209	PIERRE, SD 57501	    605-773-7447	44-22-57.7000N	159777.7000N	100-17-09.5000W	361029.5000W	E	1744	S	08E	2000		OMAHA	3	E	 1834	ZMP	ZCP	MINNEAPOLIS				N	HON	HURON		1-800-WX-BRIEF				PIR	Y	12/01/1937	O	I A S 05/1973	NGPY	NO OBJECTION	N	N	N	Y	F	F	10162012		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	N	122.950	122.700	Y	CG	N		70	27		1				3650		3390	10000	15000	100	12/31/2011	NGS	2006-08-14 00:00:00.0	NGS	2006-08-14 00:00:00.0		HGR,TIE	AFRT,AGRI,AMB,CHTR,INSTR,RNTL,SALES	Y-L
22776.*A	AIRPORT	'RAP	08/22/2013	AGL	BIS	SD	SOUTH DAKOTA	PENNINGTON	SD	RAPID CITY	RAPID CITY RGNL	PU	PU	CITY OF RAPID CITY	4550 TERMINAL RD - STE 102	RAPID CITY, SD 57703	    605-394-4110	CAMERON HUMPHRES	4550 TERMINAL RD - STE 102	RAPID CITY, SD 57703	    605-394-4195	44-02-43.2000N	158563.2000N	103-03-26.5000W	371006.5000W	E	3204	S	08E	2010		CHEYENNE	8	SE	 1655	ZDV	ZCD	DENVER				N	HON	HURON		1-800-WX-BRIEF				RAP	Y	08/01/1950	O	I B S 05/1973	NGY	NO OBJECTION	N	N	Y	Y	F	F	10182012		100LLA	MAJOR	MAJOR	HIGH	NONE	SEE RMK	SS-SR	Y	122.950	125.850	Y	CG	N		54	29	8	1		0		1305		14641	5874	14853	3203	12/31/2011	FAA	2011-12-21 00:00:00.0	3RD PARTY SURVEY	2011-01-06 00:00:00.0		HGR,TIE	AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV	Y-L
